code_postale;label;lat;long
83220;le pradet;43.100102875;6.028054834
83390;puget ville;43.276478851;6.14917647
83350;ramatuelle;43.218660031;6.637286952
13780;riboux;43.307663398;5.757074525
83440;st paul en foret;43.565307082;6.683044497
83210;sollies pont;43.190827953;6.063279006
83210;sollies toucas;43.212574967;5.9869655470000005
83100;toulon;43.136537115;5.93259923
83690;tourtour;43.593480329;6.310811397
84240;la bastide des jourdans;43.794546657;5.647002859
84120;beaumont de pertuis;43.737407377;5.696119266
84570;blauvac;44.037024518;5.243949368
84220;cabrieres d avignon;43.89592032;5.153119091
84460;cheval blanc;43.788643275;5.124251803
84340;entrechaux;44.222281548;5.13356909
84400;gargas;43.896300301;5.343541623
84220;goult;43.8673063;5.248269902
84220;joucas;43.926834624;5.25282527
84190;lafare;44.15529569;5.049986263
84800;lagnes;43.892516491;5.114850474
84160;lourmarin;43.777938467;5.365744432
84340;malaucene;44.188572153;5.149917247
84660;maubec;43.841955502;5.137315241
84380;mazan;44.054667772;5.130335646
84360;merindol;43.761708925;5.200721923
84570;methamis;44.012910333;5.253178439
84430;mondragon;44.243316161;4.724608331
84170;monteux;44.033895684;4.984764213
84240;la motte d aigues;43.784204703;5.521454341
84120;pertuis;43.687552946;5.520114663
84400;saignon;43.860337835;5.437886405
84390;st leger du ventoux;44.205989197;5.270873405
84760;st martin de la brasque;43.764162851;5.539433778
84220;st pantaleon;43.878482126;5.216626494
84390;st trinit;44.096394219;5.478685674
84100;uchaux;44.215720166;4.801821427
84600;valreas;44.376863101;4.993552541
